Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
1969eb6b-d30d-983d-abc5-920375dc8a2c,2012-02-02,,999-80-6439,,,,Lillia547,Amalia471,Schoen8,,,,white,nonhispanic,F,Boston  Massachusetts  US,489 Grimes Grove,Boston,Massachusetts,Suffolk County,25025,02152,42.40712273242111,-71.01955084229353,2288.96,25519.41,11135
d92f437c-d745-9190-423a-65dc1951ac28,1992-10-11,,999-84-8995,S99930614,X81279972X,Mr.,Erich201,,Tremblay80,,,M,white,nonhispanic,M,Pinehurst  Massachusetts  US,990 Schiller Burg,Brookline,Massachusetts,Norfolk County,25021,02445,42.34661502850193,-71.19133524852514,6213.01,59476.17,421
bbb0b45a-68e7-1ff5-60b9-d73680e2f639,2006-05-02,,999-86-3087,S99981709,,Mr.,Aurelio227,Zachary28,Waters156,,,,black,nonhispanic,M,Fall River  Massachusetts  US,529 Mayert Trail Unit 58,Springfield,Massachusetts,Hampden County,25013,01020,42.10849600297339,-72.60843780454937,41882.22,15161.44,29295
19142478-0f4d-2365-988b-23cc2294f3b0,2004-01-28,,999-21-3280,S99949901,X5707500X,Mr.,Alfredo17,Adán600,Archuleta517,,,,white,hispanic,M,La Paz  Baja California  MX,1067 Lindgren Passage Suite 26,Boston,Massachusetts,Suffolk County,25017,02467,42.26794835463029,-71.13694971869931,5290.63,91430.86,12614
5b86c615-c6f9-e8e8-8992-4fc1874986ce,1981-08-03,,999-25-7558,S99951238,X59705479X,Mrs.,Felice694,,Aufderhar910,,Bahringer146,M,white,nonhispanic,F,Newbury  Massachusetts  US,601 Kirlin Pathway,Marlborough,Massachusetts,Middlesex County,25017,01752,42.34698736315773,-71.57685959143366,257925.78,922011.65,193058
9883df40-15cc-5bf9-1842-27d0d907dd8f,1964-02-12,,999-28-7640,S99990292,X88288180X,Mrs.,Lorena247,Katrina8,Huels583,,Mitchell808,M,white,nonhispanic,F,Chicopee  Massachusetts  US,457 Jacobs Crossroad Unit 81,Salisbury,Massachusetts,Essex County,25009,01952,42.873771586610765,-70.80864767027892,1014279.53,148365.95,98153
eb0225e9-4e8d-87ec-dd9e-526932a3d7f7,1972-12-08,,999-56-9841,S99925101,X30530158X,Mrs.,Denisse335,Angella518,Kulas532,,Emard19,D,white,nonhispanic,F,Cambridge  Massachusetts  US,443 Mohr Union Unit 81,Acushnet,Massachusetts,Bristol County,,00000,41.67653500267616,-70.93877979304368,783454.38,304470.38,86162
91ca5a51-2052-805e-7476-e6dcd0248285,2000-03-20,,999-16-5797,S99965119,X45167093X,Ms.,Clarence5,Ozella681,Cassin499,,,,white,nonhispanic,F,Norwood  Massachusetts  US,586 Turner Mall,Lynn,Massachusetts,Essex County,25009,01905,42.47367166361862,-70.89573915909085,6801.07,205899.97,23316
aabb72cb-e3fd-ccc5-0a9b-6362e35d4194,2004-12-02,,999-96-1418,S99935354,X61816898X,Ms.,Marlin805,,Rippin620,,,,white,nonhispanic,F,Medfield  Massachusetts  US,958 Medhurst Branch,Wayland,Massachusetts,Middlesex County,,00000,42.3527401108211,-71.40224602162634,110993.12,44511.50,150929
ef8da3e0-328e-9fd0-ec4a-46a3e839c4fd,1979-07-28,,999-15-9120,S99960568,X45257356X,Mr.,Michel472,Jamey282,Block661,,,M,white,nonhispanic,M,Needham  Massachusetts  US,206 Mraz Plaza,North Brookfield,Massachusetts,Worcester County,25027,01535,42.26836093451035,-72.06931953620287,117596.87,18639.70,58038
988c01ed-50df-42e9-2766-1835b1959450,1999-03-31,,999-34-5676,S99989337,X63785104X,Mr.,Denny560,Seymour882,Nicolas769,,,,white,nonhispanic,M,Leominster  Massachusetts  US,147 Hickle Mission,Cambridge,Massachusetts,Middlesex County,25017,02140,42.42666662912588,-71.18406627312362,48921.65,23548.27,80210
baf04f95-8d20-92ee-08b7-7d1a2c8fd757,1970-02-14,2026-01-12,999-47-1832,S99922702,X15822011X,Mr.,Joe656,Britt177,McDermott739,,,D,white,nonhispanic,M,Winchendon  Massachusetts  US,531 Heller Lodge,Dedham,Massachusetts,Norfolk County,25021,02026,42.295910637730465,-71.15559249242797,166871.97,72157.41,146056
bb80ca86-43fc-1dbf-8087-5b4990636cad,1990-03-19,,999-33-3965,S99925310,X25989409X,Mr.,Manuel446,,Jaramillo133,,,M,white,hispanic,M,Gaudalajara  Jalisco  MX,587 Mraz Wynd,Boston,Massachusetts,Suffolk County,25025,02210,42.26727982264431,-71.13697896144996,103281.00,5484.99,700008
b88c6d24-98d9-e4a3-58f4-cac688f6b95f,2002-04-08,,999-64-8593,S99979780,X17574812X,Mr.,Rico947,Cornell131,O'Keefe54,,,,white,nonhispanic,M,Needham  Massachusetts  US,259 Nader Heights Unit 35,Templeton,Massachusetts,Worcester County,,00000,42.59094377117313,-72.02684308356737,4101.60,79011.57,17887
fd1ec7af-5376-a69c-3c4c-0b9c7350e5e5,1990-05-17,,999-39-9199,S99914882,X24628089X,Mr.,Lynn917,Rocco842,Murray856,,,M,white,nonhispanic,M,Boston  Massachusetts  US,390 Schuppe Trailer Unit 80,Brockton,Massachusetts,Plymouth County,25023,02302,42.047786620126395,-71.06075605117148,74598.84,18568.23,61796
289632e7-ae85-7e48-122d-5145916a39ce,1966-06-11,,999-32-1005,S99931806,X8793778X,Mrs.,Leighann368,,Carter549,,Stanton715,M,white,nonhispanic,F,Russell  Massachusetts  US,556 Predovic Highlands Unit 40,Newburyport,Massachusetts,Essex County,25009,01950,42.7808458986942,-70.9126028529441,301896.93,535971.10,158045
5a0d524c-e0b6-4d07-15ed-43d15f6ad3b3,1983-08-28,,999-96-7238,S99980806,X51669824X,Mr.,Dong972,,Gislason620,,,M,white,nonhispanic,M,Braga  Minho  PT,473 Stokes Village,Holden,Massachusetts,Worcester County,,00000,42.400517659852945,-71.82898846699354,123334.71,25384.96,156502
1cc351f1-3025-a736-9d28-9cb97f7af76a,1981-02-20,,999-21-2979,S99921794,X12176401X,Mrs.,Gabriela205,Rosalia943,Colón139,,Blanco851,M,white,hispanic,F,Santiago de los Caballeros  Santiago  DO,940 Kunde Terrace,Worcester,Massachusetts,Worcester County,25027,01610,42.29258318677591,-71.83997906509244,20426.05,1674997.05,13506
464d8fcc-47f2-f6ad-a1c7-f6e22e0bf040,2015-03-19,,999-52-5165,,,,Frances376,Renato359,Ward668,,,,white,nonhispanic,M,Chelmsford  Massachusetts  US,136 Von Station,Worcester,Massachusetts,Worcester County,25027,01604,42.3170007153981,-71.83146412608828,7290.16,58790.98,124783
e270d617-78bd-4f85-f5e8-6e3965eba450,1967-02-11,,999-86-7818,S99924775,X4660822X,Mr.,Merlin721,Ivory697,Batz141,,,M,white,nonhispanic,M,Pocasset  Massachusetts  US,1099 Reynolds Station,Easton,Massachusetts,Bristol County,,00000,42.080329494238086,-71.07581483216039,32616.59,342153.10,55218
39f3ce51-328a-087d-3b47-3abf2f7bfe83,1978-02-23,,999-29-4337,S99955137,X46867773X,Mrs.,Jonna572,Herlinda751,Koss676,,Wiegand701,M,black,nonhispanic,F,Worcester  Massachusetts  US,1033 Jaskolski Plaza,Boston,Massachusetts,Suffolk County,25025,02132,42.35839672265601,-71.05456189690445,340968.44,383938.10,57289
24ced93d-02b8-9aee-d843-c873f4423fe1,1993-07-05,,999-56-2347,S99996176,X31153429X,Mr.,Dylan44,Dewayne363,Kessler503,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,472 Maggio Club,Burlington,Massachusetts,Middlesex County,25017,01803,42.51973808508447,-71.2159207332926,79057.10,0.00,113519
f0945ba1-3805-ef86-ed10-abe5d656a7f4,1996-06-14,,999-87-4349,S99970906,X4206861X,Mrs.,Rochel591,Jenine75,Denesik803,,Douglas31,M,white,nonhispanic,F,Ipswich  Massachusetts  US,304 Murphy Mill,Marblehead,Massachusetts,Essex County,25009,01945,42.53090798401139,-70.83315023403702,14005.60,790203.72,12837
2b1312bc-5c6a-697d-69cc-41c5ded9a561,2004-05-12,,999-12-8678,S99959658,X35945624X,Mr.,Rafael239,Benjamín452,Osorio731,,,,black,nonhispanic,M,Ponce  Puerto Rico  PR,386 Windler Mill Unit 99,Gloucester,Massachusetts,Essex County,25009,01930,42.60612813120559,-70.6555609708932,88662.52,0.00,54121
258c2a33-57d6-19da-6c7a-b3d7d81bb5fa,2020-06-24,,999-65-3358,,,,Loraine318,Elvera717,Feeney44,,,,asian,nonhispanic,F,Busan  Busan  KR,475 Price Divide,Revere,Massachusetts,Suffolk County,25025,02151,42.456080993593986,-70.95275271756147,924.33,13074.65,13035
bb8f31a5-51a6-0e6b-d071-46957dc3e50e,2016-11-30,,999-11-6349,,,,Chong355,Monroe732,Koch169,,,,black,nonhispanic,M,Ludlow  Massachusetts  US,924 Heathcote Path,Boston,Massachusetts,Suffolk County,25025,02128,42.45903320532758,-70.95157191524301,18470.38,8496.46,26789
32f463dc-c68c-fb94-499e-3e02457c531a,1970-02-14,,999-53-6678,S99931190,X33284625X,Mr.,Tristan353,Edgar153,Walter473,,,S,white,nonhispanic,M,Wayland  Massachusetts  US,583 Mosciski Common,Dedham,Massachusetts,Norfolk County,25021,02026,42.197321266124995,-71.14278139548726,125409.42,68776.78,146056
4ff840ba-da59-cb3d-8d9e-07a5837e0ee1,1998-01-24,,999-73-3585,S99998929,X41449260X,Mrs.,Janet238,Chantell995,Dietrich576,,Ruecker817,M,white,nonhispanic,F,Boston  Massachusetts  US,958 DuBuque Key,Chelsea,Massachusetts,Suffolk County,25025,02150,42.41327215615137,-71.1037162583907,63656.11,50727.83,90649
2081b674-82c3-f6e8-7709-79f15f5d2169,1994-11-19,,999-86-6529,S99971585,X52615966X,Mrs.,Emilee283,,Moen819,,Braun514,M,white,nonhispanic,F,East Bridgewater  Massachusetts  US,787 Jenkins Manor Unit 37,Weymouth,Massachusetts,Norfolk County,25021,02189,42.17301508796321,-70.95347034897404,74268.21,216942.21,187491
e230b323-4090-7655-f6e2-bc18c4e4e127,1999-10-16,,999-24-2616,S99960174,X44724111X,Mr.,King743,Michel472,Hamill307,,,,white,nonhispanic,M,Norwood  Massachusetts  US,441 Hegmann Lodge,Boston,Massachusetts,Suffolk County,25025,02124,42.39582504005373,-71.01428277442834,18506.67,772433.38,11200
2fe92e1e-c8e9-ba31-cf79-7048eb537014,2003-10-28,,999-37-5342,S99972981,X45470679X,Mr.,Erwin847,Titus37,Marvin195,,,,white,nonhispanic,M,Winchendon  Massachusetts  US,892 Bahringer Byway Unit 37,Framingham,Massachusetts,Middlesex County,25017,01701,42.31119010622652,-71.42436055171949,41727.43,19891.17,60581
39067c2d-5ae3-f8ef-e826-5afeff103601,2009-01-12,,999-41-9029,S99993879,,,Charley358,,Ullrich385,,,,asian,nonhispanic,M,Lynn  Massachusetts  US,504 Flatley Wynd Apt 79,Waltham,Massachusetts,Middlesex County,25017,02451,42.382189586481736,-71.22191333574304,54597.11,8613.77,163568
2516c22a-5fc5-89f0-8b28-67df42ffafd8,2002-07-11,,999-16-7049,S99985400,X76909339X,Mr.,Dong972,,Lang846,,,,white,nonhispanic,M,Lowell  Massachusetts  US,506 Schaefer Rapid,Amherst,Massachusetts,Hampshire County,,00000,42.38686209774993,-72.53073104720693,5977.03,87588.78,3278
4fd27b32-f4da-307b-fc68-bc8c12e6d123,1971-05-04,,999-19-4132,S99937835,X5403620X,Mr.,Wiley422,Gaston250,Mueller846,,,M,white,nonhispanic,M,Gardner  Massachusetts  US,749 Beer Vista Suite 41,Plymouth,Massachusetts,Plymouth County,25023,02360,41.89279547727185,-70.59438632484796,141526.85,97665.53,71670
